"Isolate_Name","Category","Assembly_Type","Sequencing_Kit","Filtering","Polishing","Plasmid_Prep","Source","Total_Plasmids","Novel_Plasmids","Corrected_Total_Plasmids","AA162","AA163","AA175","AA176","AA178","AA179","AA281","AA313","AA315","AA329","AA332","AA372","AA374","AA378","AA474","AA476","AA551","AA579","AA664","A736","AA738","AA979","AB158","AB229","AB233","AB238","AB241","AB443","AB444","AB683","AB685","AB686","AB690","AB714","AC026","AC028","AC509","AC622","AC748","AC977","AD482","AD669","AD672","AF232","AF267","Novel_Plasmids"
"EC-A-0012-C5-H-CuP-CeN","HLF","Hybrid","Ligation","Filtered","Pilon","No_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","HLF_PP","Hybrid_PP",,,,"Yes_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","HLUF","Hybrid","Ligation","Unfiltered","Pilon","No_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","HLUF_PP","Hybrid_PP",,,,"Yes_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","HRF","Hybrid","Rapid","Filtered","Pilon","No_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","HRF_PP","Hybrid_PP",,,,"Yes_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","HRUF","Hybrid","Rapid","Unfiltered","Pilon","No_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","HRUF_PP","Hybrid_PP",,,,"Yes_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLFM","Long_Read","Ligation","Filtered","Medaka","No_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLFM_PP","Long_Read_PP",,,,"Yes_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLF","Long_Read","Ligation","Filtered","Unpolished","No_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLF_PP","Long_Read_PP",,,,"Yes_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLFMP","Long_Read","Ligation","Filtered","Medaka_Pilon","No_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLFMP_PP","Long_Read_PP",,,,"Yes_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLUFM","Long_Read","Ligation","Unfiltered","Medaka","No_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLUFM_PP","Long_Read_PP",,,,"Yes_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLUFMP","Long_Read","Ligation","Unfiltered","Medaka_Pilon","No_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLUFMP_PP","Long_Read_PP",,,,"Yes_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLUF","Long_Read","Ligation","Unfiltered","Unpolished","No_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LLUF_PP","Long_Read_PP",,,,"Yes_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRF","Long_Read","Ligation","Filtered","Unpolished","No_PP","Cecal",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRF_PP","Long_Read_PP",,,,"Yes_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRFM","Long_Read","Rapid","Filtered","Medaka","No_PP","Cecal",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRF_PP","Long_Read_PP",,,,"Yes_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRFMP","Long_Read","Rapid","Filtered","Medaka_Pilon","No_PP","Cecal",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRFMP_PP","Long_Read_PP",,,,"Yes_PP","Cecal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRUF","Long_Read","Rapid","Unfiltered","Unpolished","No_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRUF_PP","Long_Read_PP",,,,"Yes_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRUFM","Long_Read","Rapid","Unfiltered","Medaka","No_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRUFM_PP","Long_Read_PP",,,,"Yes_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRUFMP","Long_Read","Rapid","Unfiltered","Medaka_Pilon","No_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0012-C5-H-CuP-CeN","LRUFMP_PP","Long_Read_PP",,,,"Yes_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","HLF","Hybrid","Ligation","Filtered","Pilon","No_PP","Cecal",4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","HLF_PP","Hybrid_PP",,,,"Yes_PP","Cecal",4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","HLUF","Hybrid","Ligation","Unfiltered","Pilon","No_PP","Cecal",4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","HLUF_PP","Hybrid_PP",,,,"Yes_PP","Cecal",4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","HRF","Hybrid","Rapid","Filtered","Pilon","No_PP","Cecal",4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","HRF_PP","Hybrid_PP",,,,"Yes_PP","Cecal",4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","HRUF","Hybrid","Rapid ","Unfiltered","Pilon","No_PP","Cecal",4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","HRUF_PP","Hybrid_PP",,,,"Yes_PP","Cecal",4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","LLFM","Long_Read","Ligation","Filtered","Medaka","No_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","LFM_PP","Long_Read_PP",,,,"Yes_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","LLF","Long_Read","Ligation","Filtered","Unpolished","No_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","LLF_PP","Long_Read_PP",,,,"Yes_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","LLFMP","Long_Read","Ligation","Filtered","Medaka_Pilon","No_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","LLFMP_PP","Long_Read_PP",,,,"Yes_PP","Cecal",3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","LLUFM","Long_Read","Ligation","Unfiltered","Medaka","No_PP","Cecal",4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","LLUFM_PP","Long_Read_PP",,,,"Yes_PP","Cecal",4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EC-A-0205-C9-H-CuP-CeP","LLUFMP","Long_Read","Ligation","Unfiltered","Medaka_Pilon","No_PP","Cecal",4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
